dgp,bidders,auctions,repetition,exact_reserve,regularized_target,population_root_count,dml_estimate,dml_target_error,dml_exact_error,standard_error,ci_lower,ci_upper,covers_regularized_target,covers_exact_reserve,sample_root_count,direct_estimate,direct_exact_error,maxima_below_exact_reserve
Mixture,5,2000,136,0.7580282496557116,0.8749741936852664,1,0.8535750706811649,-0.021399123004101517,0.09554682102545331,0.019232638832391243,0.8158790985696781,0.8912710427926517,True,False,1,0.8515286320496517,0.0935003823939401,1
Mixture,5,2000,137,0.7580282496557116,0.8749741936852664,1,0.858237306103631,-0.016736887581635385,0.10020905644791944,0.019951643506353846,0.8191320848311775,0.8973425273760846,True,False,1,0.8210362257992966,0.063007976143585,2
Mixture,5,2000,138,0.7580282496557116,0.8749741936852664,1,0.8467245646117323,-0.02824962907353412,0.0886963149560207,0.017566680798268505,0.8122938702471261,0.8811552589763385,True,False,1,0.7884810758698273,0.030452826214115714,0
Mixture,5,2000,139,0.7580282496557116,0.8749741936852664,1,0.8433813606572385,-0.031592833028027956,0.08535311100152687,0.0167761317290601,0.8105001424682806,0.8762625788461963,True,False,1,0.8359844288221242,0.07795617916641262,1
Mixture,5,2000,140,0.7580282496557116,0.8749741936852664,1,0.9005404117477039,0.02556621806243753,0.14251216209199236,0.02393882023333964,0.8536203240903583,0.9474604994050496,True,False,1,0.7414456460006305,-0.01658260365508113,3
Mixture,5,2000,141,0.7580282496557116,0.8749741936852664,1,0.9000190025040894,0.025044808818822983,0.1419907528483778,0.021566953528555657,0.8577477735881203,0.9422902314200585,True,False,1,0.9089021745312481,0.15087392487553652,5
Mixture,5,2000,142,0.7580282496557116,0.8749741936852664,1,0.8571726759908493,-0.01780151769441707,0.09914442633513776,0.0223012271505635,0.8134622707757448,0.9008830812059538,True,False,1,0.8405037968101519,0.08247554715444028,2
Mixture,5,2000,143,0.7580282496557116,0.8749741936852664,1,0.8810019801946606,0.006027786509394173,0.122973730538949,0.021544184934228775,0.8387753777235721,0.923228582665749,True,False,1,0.7869745986485496,0.02894634899283799,0
Mixture,5,2000,144,0.7580282496557116,0.8749741936852664,1,0.8723556973836408,-0.0026184963016255836,0.11432744772792924,0.02050908609565193,0.832157888636163,0.9125535061311186,True,False,1,0.7497821373616793,-0.00824611229403227,1
Mixture,5,2000,145,0.7580282496557116,0.8749741936852664,1,0.9086695224615512,0.03369532877628478,0.1506412728058396,0.023060378025116467,0.8634711815323229,0.9538678633907794,True,False,1,0.9072556550865235,0.14922740543081192,3
Mixture,5,2000,146,0.7580282496557116,0.8749741936852664,1,0.8463085549662598,-0.028665638719006625,0.0882803053105482,0.019112869049917977,0.8088473316284206,0.883769778304099,True,False,1,0.7702137009550362,0.012185451299324579,1
Mixture,5,2000,147,0.7580282496557116,0.8749741936852664,1,0.860279330042377,-0.01469486364288941,0.10225108038666542,0.017604096660086145,0.8257753005886082,0.8947833594961458,True,False,1,0.7702624776242161,0.012234227968504485,0
Mixture,5,2000,148,0.7580282496557116,0.8749741936852664,1,0.8815643844086014,0.006590190723334999,0.12353613475288983,0.02289692076163597,0.8366864197157949,0.9264423491014079,True,False,1,0.7849458073425093,0.02691755768679771,0
Mixture,5,2000,149,0.7580282496557116,0.8749741936852664,1,0.8338411051942632,-0.04113308849100317,0.07581285553855166,0.017423526271971995,0.7996909937011981,0.8679912166873284,False,False,1,0.7879303779137474,0.029902128258035843,1
